CdrEvent: 0 - d0	 => 0
CdrEvent: 4 - d1	 => 9
CdrEvent: 8 - d2	 => 36
CdrEvent: 12 - d0	 => 50
CdrEvent: 16 - d1	 => 40
CdrEvent: 20 - d2	 => 30
CdrEvent: 24 - d0	 => 40
CdrEvent: 28 - d1	 => 60
CdrEvent: 32 - d2	 => 50
CdrEvent: 36 - d0	 => 40
CdrEvent: 40 - d1	 => 30
CdrEvent: 44 - d2	 => 40
CdrEvent: 48 - d0	 => 60
CdrEvent: 52 - d1	 => 50
CdrEvent: 56 - d2	 => 40
CdrEvent: 60 - d0	 => 30
CdrEvent: 64 - d1	 => 40
CdrEvent: 68 - d2	 => 60
CdrEvent: 72 - d0	 => 50
CdrEvent: 76 - d1	 => 40
CdrEvent: 80 - d2	 => 30
CdrEvent: 84 - d0	 => 40
CdrEvent: 88 - d1	 => 60
CdrEvent: 92 - d2	 => 50
CdrEvent: 96 - d0	 => 40
CdrEvent: 100 - d1	 => 30
CdrEvent: 104 - d2	 => 40
CdrEvent: 108 - d0	 => 60
CdrEvent: 112 - d1	 => 50
CdrEvent: 116 - d2	 => 40
CdrEvent: 120 - d0	 => 30
CdrEvent: 124 - d1	 => 40
CdrEvent: 128 - d2	 => 60
CdrEvent: 132 - d0	 => 50
CdrEvent: 136 - d1	 => 40
CdrEvent: 140 - d2	 => 30
CdrEvent: 144 - d0	 => 40
CdrEvent: 148 - d1	 => 60
CdrEvent: 152 - d2	 => 50
CdrEvent: 156 - d0	 => 40
CdrEvent: 160 - d1	 => 30
CdrEvent: 164 - d2	 => 40
CdrEvent: 168 - d0	 => 60
CdrEvent: 172 - d1	 => 50
CdrEvent: 176 - d2	 => 40
CdrEvent: 180 - d0	 => 30
CdrEvent: 184 - d1	 => 40
CdrEvent: 188 - d2	 => 60
CdrEvent: 192 - d0	 => 50
CdrEvent: 196 - d1	 => 40
CdrEvent: 200 - d2	 => 30
CdrEvent: 204 - d0	 => 40
CdrEvent: 208 - d1	 => 60
CdrEvent: 212 - d2	 => 50
CdrEvent: 216 - d0	 => 40
CdrEvent: 220 - d1	 => 30
CdrEvent: 224 - d2	 => 40
CdrEvent: 228 - d0	 => 60
CdrEvent: 232 - d1	 => 50
CdrEvent: 236 - d2	 => 40
CdrEvent: 240 - d0	 => 30
CdrEvent: 244 - d1	 => 40
CdrEvent: 248 - d2	 => 60
CdrEvent: 252 - d0	 => 50
CdrEvent: 256 - d1	 => 40
CdrEvent: 260 - d2	 => 30
CdrEvent: 264 - d0	 => 40
CdrEvent: 268 - d1	 => 60
CdrEvent: 272 - d2	 => 50
CdrEvent: 276 - d0	 => 40
CdrEvent: 280 - d1	 => 30
CdrEvent: 284 - d2	 => 40
CdrEvent: 288 - d0	 => 60
CdrEvent: 292 - d1	 => 50
CdrEvent: 296 - d2	 => 40
CdrEvent: 300 - d0	 => 30
CdrEvent: 304 - d1	 => 40
CdrEvent: 308 - d2	 => 60
CdrEvent: 312 - d0	 => 50
CdrEvent: 316 - d1	 => 40
CdrEvent: 320 - d2	 => 30
CdrEvent: 324 - d0	 => 40
CdrEvent: 328 - d1	 => 60
CdrEvent: 332 - d2	 => 50
CdrEvent: 336 - d0	 => 40
CdrEvent: 340 - d1	 => 30
CdrEvent: 344 - d2	 => 40
CdrEvent: 348 - d0	 => 60
CdrEvent: 352 - d1	 => 50
CdrEvent: 356 - d2	 => 40
CdrEvent: 360 - d0	 => 30
CdrEvent: 364 - d1	 => 40
CdrEvent: 368 - d2	 => 60
CdrEvent: 372 - d0	 => 50
CdrEvent: 376 - d1	 => 40
CdrEvent: 380 - d2	 => 30
CdrEvent: 384 - d0	 => 40
CdrEvent: 388 - d1	 => 60
CdrEvent: 392 - d2	 => 50
CdrEvent: 396 - d0	 => 40
CdrEvent: 400 - d1	 => 30
CdrEvent: 404 - d2	 => 40
CdrEvent: 408 - d0	 => 60
CdrEvent: 412 - d1	 => 50
CdrEvent: 416 - d2	 => 40
CdrEvent: 420 - d0	 => 30
CdrEvent: 424 - d1	 => 40
CdrEvent: 428 - d2	 => 60
CdrEvent: 432 - d0	 => 50
CdrEvent: 436 - d1	 => 40
CdrEvent: 440 - d2	 => 30
CdrEvent: 444 - d0	 => 40
CdrEvent: 448 - d1	 => 60
CdrEvent: 452 - d2	 => 50
CdrEvent: 456 - d0	 => 40
CdrEvent: 460 - d1	 => 30
CdrEvent: 464 - d2	 => 40
CdrEvent: 468 - d0	 => 60
CdrEvent: 472 - d1	 => 50
CdrEvent: 476 - d2	 => 40
CdrEvent: 480 - d0	 => 30
